fecha,capital
2006-01-03,4000.0
2006-01-04,4000.0
2006-01-05,4000.0
2006-01-06,4000.0
2006-01-09,4000.0
2006-01-10,4000.0
2006-01-11,4000.0
2006-01-12,4000.0
2006-01-13,4000.0
2006-01-17,4000.0
2006-01-18,4000.0
2006-01-19,4000.0
2006-01-20,4000.0
2006-01-23,4000.0
2006-01-24,4000.0
2006-01-25,4000.0
2006-01-26,4000.0
2006-01-27,4000.0
2006-01-30,4000.0
2006-01-31,4000.0
2006-02-01,4000.0
2006-02-02,4000.0
2006-02-03,4000.0
2006-02-06,4000.0
2006-02-07,4000.0
2006-02-08,4000.0
2006-02-09,4000.0
2006-02-10,4000.0
2006-02-13,4000.0
2006-02-14,4000.0
2006-02-15,4000.0
2006-02-16,4000.0
2006-02-17,4000.0
2006-02-21,4000.0
2006-02-22,4000.0
2006-02-23,4000.0
2006-02-24,4000.0
2006-02-27,4000.0
2006-02-28,4000.0
2006-03-01,4000.0
2006-03-02,4000.0
2006-03-03,4000.0
2006-03-06,4000.0
2006-03-07,4000.0
2006-03-08,4000.0
2006-03-09,4000.0
2006-03-10,4000.0
2006-03-13,4000.0
2006-03-14,4000.0
2006-03-15,4000.0
2006-03-16,4000.0
2006-03-17,4000.0
2006-03-20,4000.0
2006-03-21,4000.0
2006-03-22,4000.0
2006-03-23,4000.0
2006-03-24,4000.0
2006-03-27,4000.0
2006-03-28,4000.0
2006-03-29,4000.0
2006-03-30,4000.0
2006-03-31,4000.0
2006-04-03,4000.0
2006-04-04,4000.0
2006-04-05,4000.0
2006-04-06,4000.0
2006-04-07,4000.0
2006-04-10,4000.0
2006-04-11,4000.0
2006-04-12,4000.0
2006-04-13,4000.0
2006-04-17,4000.0
2006-04-18,4000.0
2006-04-19,4000.0
2006-04-20,4000.0
2006-04-21,4000.0
2006-04-24,4000.0
2006-04-25,4000.0
2006-04-26,4000.0
2006-04-27,4000.0
2006-04-28,4000.0
2006-05-01,4000.0
2006-05-02,4000.0
2006-05-03,4000.0
2006-05-04,4000.0
2006-05-05,4000.0
2006-05-08,4000.0
2006-05-09,4000.0
2006-05-10,4000.0
2006-05-11,4000.0
2006-05-12,4000.0
2006-05-15,4000.0
2006-05-16,4000.0
2006-05-17,4000.0
2006-05-18,4000.0
2006-05-19,4000.0
2006-05-22,4000.0
2006-05-23,4000.0
2006-05-24,4000.0
2006-05-25,4000.0
2006-05-26,4000.0
2006-05-30,4000.0
2006-05-31,4000.0
2006-06-01,4000.0
2006-06-02,4000.0
2006-06-05,4000.0
2006-06-06,4000.0
2006-06-07,4000.0
2006-06-08,4000.0
